Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	
0	0.198685661	1.966133555	0.994217586	
0.5	1.06969428	2.510129231	0.984944815	
1	2.759075415	2.786287772	0.9260739	
1.5	4.734211943	3.418342591	0.96400779	
2	5.90633865	4.016638388	0.976968061	
2.5	8.031345217	4.327350963	1.052856111	
3	11.13168513	5.056354703	1.017180914	
3.5	13.43197389	5.409904197	0.911847992	
4	15.81221025	5.956245938	1.016204198	
4.5	19.34202402	6.409744008	0.980745886	
5	22.31463292	7.277841728	0.9661539	
5.5	25.9387081	7.497975416	1.030583814	
6	30.09678491	7.841343361	1.051549976	
6.5	33.3596879	8.623381737	1.046564006	
7	37.81003287	8.816873453	0.958039124	
7.5	42.90008499	9.531329539	0.984539381	
8	47.59486755	9.706049481	1.016563172	
8.5	53.25069893	10.30077209	1.048777256	
9	58.13679037	11.02952919	0.976041288	
9.5	63.56007852	11.61076999	0.990717051	
10	70.58625951	12.02570524	0.944683251	
				
